name,value,year,lastValue,rank
A Symonds,42,2008,42,9
A Symonds,63,2008.1,42,16
A Symonds,145,2008.2,63,3
A Symonds,145,2008.3,145,7
A Symonds,145,2008.4,145,11
A Symonds,145,2008.5,145,18
A Symonds,145,2008.6,145,24
A Symonds,145,2008.7,145,29
A Symonds,145,2008.8,145,29
A Symonds,145,2008.9,145,33
A Symonds,187,2009,145,28
A Symonds,222,2009.1,187,29
A Symonds,256,2009.2,222,27
A Symonds,292,2009.3,256,24
A Symonds,324,2009.4,292,24
A Symonds,337,2009.5,324,25
A Symonds,347,2009.6,337,26
A Symonds,374,2009.7,347,27
A Symonds,374,2009.8,374,29
A Symonds,374,2009.9,374,34
A Symonds,380,2010,374,36
A Symonds,438,2010.1,380,32
A Symonds,477,2010.2,438,28
A Symonds,508,2010.3,477,26
A Symonds,532,2010.4,508,24
A Symonds,533,2010.5,532,26
A Symonds,576,2010.6,533,24
A Symonds,596,2010.7,576,23
A Symonds,618,2010.8,596,23
A Symonds,650,2010.9,618,25
A Symonds,825,2011,650,16
A Symonds,870,2011.1,825,16
A Symonds,927,2011.2,870,14
A Symonds,947,2011.3,927,15
A Symonds,955,2011.4,947,14
A Symonds,958,2011.5,955,14
A Symonds,963,2011.6,958,14
A Symonds,965,2011.7,963,17
A Symonds,988,2011.8,965,17
A Symonds,988,2011.9,988,19
A Symonds,988,2012,988,21
A Symonds,988,2012.1,988,22
A Symonds,988,2012.2,988,23
A Symonds,988,2012.3,988,24
A Symonds,988,2012.4,988,26
A Symonds,988,2012.5,988,26
A Symonds,988,2012.6,988,28
A Symonds,988,2012.7,988,30
A Symonds,988,2012.8,988,30
A Symonds,988,2012.9,988,34
A Symonds,988,2013,988,34
A Symonds,988,2013.1,988,37
A Symonds,988,2013.2,988,38
A Symonds,988,2013.3,988,38
A Symonds,988,2013.4,988,40
A Symonds,988,2013.5,988,40
A Symonds,988,2013.6,988,40
A Symonds,988,2013.7,988,40
A Symonds,988,2013.8,988,40
A Symonds,988,2013.9,988,40
A Symonds,988,2014,988,41
A Symonds,988,2014.1,988,42
A Symonds,988,2014.2,988,44
A Symonds,988,2014.3,988,44
A Symonds,988,2014.4,988,44
A Symonds,988,2014.5,988,44
A Symonds,988,2014.6,988,45
